DS_CAST_NO,DS_DS_NO,HM Wt,HM Temp,HM S,Aim S,Act Mg,Act Lime,ADS
T98555,1,163.9,1394.0,0.053,0.012,79,248,0.019
T98280,2,172.4,1382.0,0.035,0.012,70,324,0.017
T96855,1,159.4,1359.0,0.065,0.012,71,411,0.02
T94242,2,158.9,1346.0,0.048,0.012,101,257,0.024
T99792,1,160.0,1399.0,0.023,0.012,82,331,0.02
T96463,1,160.7,1389.0,0.023,0.012,78,334,0.019
T92028,2,162.8,1386.0,0.027,0.012,70,251,0.014
T95636,2,167.3,1399.0,0.031,0.012,65,346,0.015
T92685,1,159.5,1425.0,0.064,0.012,64,350,0.019
T98777,1,165.8,1362.0,0.059,0.012,86,292,0.021
T91202,2,165.9,1362.0,0.03,0.012,62,260,0.016
T98994,2,168.9,1360.0,0.032,0.012,76,389,0.017
T94581,2,163.5,1347.0,0.052,0.012,63,264,0.013
T93612,1,170.8,1400.0,0.064,0.012,59,392,0.018
T93731,2,167.6,1404.0,0.036,0.012,65,338,0.015
T91466,2,167.3,1397.0,0.046,0.012,78,311,0.017
T99901,1,161.1,1412.0,0.065,0.012,82,389,0.025
T94561,2,166.9,1373.0,0.059,0.012,72,306,0.019
T96977,2,167.5,1379.0,0.065,0.012,68,319,0.018
T95297,2,160.8,1386.0,0.034,0.012,77,355,0.018
T98721,2,173.4,1360.0,0.055,0.012,68,286,0.017
T91860,1,183.4,1343.0,0.026,0.012,65,332,0.015
T95636,2,160.4,1374.0,0.051,0.012,59,261,0.013
T99226,2,161.7,1358.0,0.035,0.012,83,351,0.022
T92306,2,161.9,1424.0,0.055,0.012,64,285,0.018
T92986,2,155.8,1333.0,0.027,0.012,58,334,0.016
T99838,2,158.9,1369.0,0.053,0.012,67,492,0.024
T98554,2,171.0,1377.0,0.055,0.012,80,280,0.019
T96578,1,164.4,1349.0,0.063,0.012,79,401,0.021
T93731,1,178.4,1359.0,0.054,0.012,68,314,0.018
T95413,1,163.0,1372.0,0.046,0.012,65,360,0.016
T99226,2,167.9,1341.0,0.059,0.012,97,370,0.026
T97668,2,158.7,1380.0,0.034,0.012,61,358,0.017
T94748,2,164.2,1409.0,0.054,0.012,70,332,0.017
T92495,1,165.6,1361.0,0.056,0.012,62,226,0.015
T92021,2,150.3,1389.0,0.04,0.012,80,366,0.019
T99755,1,159.2,1413.0,0.069,0.012,81,322,0.021
T98280,2,169.5,,0.038,0.012,58,285,0.014
T92495,2,169.1,1352.0,0.024,0.012,73,292,0.016
T98858,1,156.3,1332.0,0.035,0.012,42,252,0.008
T99684,1,162.5,1362.0,0.025,0.012,71,327,0.012
T98721,1,148.4,1371.0,0.037,0.012,40,296,0.012
T92734,1,165.0,1318.0,0.026,0.012,74,303,0.021
T91698,1,173.8,1371.0,0.042,0.012,66,356,0.018
T91854,1,174.1,1349.0,0.059,0.012,53,305,0.013
T92028,2,173.9,1367.0,0.023,0.012,76,332,0.018
T93695,1,168.7,1362.0,0.048,0.012,70,300,0.018
T96977,2,173.1,1365.0,0.022,0.012,59,330,0.014
